church_name,pastor_name,pastor_title,address,city,state,zip,district,phone,email,website,status,source,last_updated,lat,lng,ministries,notes
All Nation AOH Church of God,,,,Loxley,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Bellamy AOH Church of God,,,,Grove Hill,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Pinehill AOH Church of God,,,,Alpine,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
16th Street AOH Church of God,,,,Bessemer,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Attalla #1 AOH Church of God,,,,Attalla,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Pilgrim Travelers AOH Church of God,,,,Georgiana,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Clarksville AOH Church of God,,,,Grove Hill,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Winn AOH Church of God,,,,Jackson,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Little Bethel AOH Church of God,,,,Mobile,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Lower Peachtree AOH Church of God,,,,Jackson,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Whatley AOH Church of God,,,,Whatley,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Corona Avenue AOH Church of God,,,,Jasper,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Mexia AOH Church of God,,,,Monroeville,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Harris Street AOH Church of God,,,,Atmore,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Spirit Led AOH Church of God,,,"1900 Jordan Street",Guntersville,AL,35976,,"256-582-9722",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Tuskegee AOH Church of God,,,,Tuskegee,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Horton Temple A.O.H. Church of God,,,,Scottsboro,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Living Word AOH Church,,,,Sylacauga,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Bethesda Temple AOH Church of God,,,"2801 35th Ave North",Birmingham,AL,35207,,"205-322-3297",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Hibernian Street AOH Church of God,,,,Birmingham,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,Bhamwiki/FaithStreet Birmingham listing
Hudson City Apostolic Overcoming Holy Church of God,,,,Birmingham,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,Bhamwiki Birmingham listing
Ruth Bryant Memorial AOH Church of God,,,,Birmingham,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet/Bhamwiki listing
Titusville Apostolic Overcoming Holy Church of God,,,,Birmingham,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,Bhamwiki Birmingham listing
Woodland Park Apostolic Overcoming Holy Church of God,,,,Birmingham,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,Bhamwiki Birmingham listing
Zion Star Apostolic Overcoming Holy Church of God,,,,Birmingham,AL,,,,,,,pending,Public web sweep,2026-04-15,,,,Bhamwiki Birmingham listing
By Faith AOH Church of God,,,"2863 Stanton Ave",Cincinnati,OH,45206,,"513-861-8742",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
New Beginning AOH Church of God,,,"2350 Ravine St",Cincinnati,OH,45219,,"513-421-4185",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Yale Street AOH Church of God,,,"825 Yale Street",Akron,OH,44311,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet/MapQuest match
Sardis AOH Church of God,,,"305 East Lee Street",Sardis,MS,38666,,"662-487-3054",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Ark of Faith AOH Church,,,"4124 Pappy Kennedy St.",Orlando,FL,32805,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Bibleway AOH Church of God,,,,Pensacola,FL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet state page name/city match
Light of the World AOH Church of God,,,"1105 North M Street",Pensacola,FL,32534,,"850-438-3751",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Love Covenant AOH Church of God,,,,Daytona Beach,FL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet state page name/city match
Orlando Christian Ministries,,,,Orlando,FL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet state page name/city match
St Cloud AOH Church of God,,,,St Cloud,FL,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet state page name/city match
Bethesda AOH Church of God,,,"4524 Brookfield Dr",Sacramento,CA,95823,,"916-392-2877",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Mt. Moriah AOH Church of God,,,,Sacramento,CA,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet state page name/city match
Omni AOH Church of God,,,,Compton,CA,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet state page name/city match
St.Peter AOH Church of God,,,"1478 E. 92nd Street",Los Angeles,CA,90002,,"323-566-9725",,http://www.stpeteraoh.org,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Agape AOH Church of God,,,"501 Ohio Street",Athens,TN,37303,,"423-745-4844",,,pending,Public web sweep,2026-04-15,,,,FaithStreet individual page
Greater Love AOH Church of God,,,,Clarksville,TN,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
Amityville AOH Church of God,,,,Amityville,NY,,,,,,,pending,Public web sweep,2026-04-15,,,,FaithStreet denomination page name/city match
